index,viewed,gender,grade,nevents,ndays_act,nplay_video,nchapters,age,votes,num_words,true class,SVM prediction,SVM anchor,SVM precision,SVM coverage,MLP prediction,MLP anchor,MLP precision,MLP coverage
0,1.0,1.0,0.85,4717.0,43.0,770.0,18.0,27.0,2.0,358.0,complete,fail,age <= 29.00,0.9942857142857143,0.7687,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND viewed = viewed AND grade > 0.00 AND ndays_act > 5.00,0.3780332056194125,0.0378
1,1.0,1.0,0.63,1745.0,13.0,1.0,9.0,20.0,0.0,49.0,complete,fail,nplay_video <= 20.00,0.9919354838709677,0.2593,fail,num_words <= 49.00 AND nplay_video <= 20.00,0.9926470588235294,0.1394
2,1.0,1.0,0.89,14005.0,65.0,1110.0,16.0,24.0,0.0,17.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND ndays_act > 5.00 AND 362.00 < nplay_video <= 197757.00 AND age <= 29.00 AND viewed = viewed AND votes <= 1.00,0.1506849315068493,0.0248,pass,nevents > 205.00 AND nplay_video > 362.00 AND ndays_act > 5.00 AND nchapters > 3.00 AND grade > 0.00,0.3947858472998138,0.0401
3,1.0,1.0,0.83,32296.0,85.0,8052.0,18.0,30.0,2.0,9.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND ndays_act > 1.00 AND gender = f,0.082,0.1078,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00 AND age > 21.00,0.29144178874325366,0.031
4,1.0,0.0,0.76,6524.0,92.0,611.0,18.0,25.0,0.0,227.0,complete,fail,age > 21.00 AND num_words > 49.00,1.0,0.3603,pass,nevents > 205.00 AND nplay_video > 362.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.32646048109965636,0.037
5,1.0,1.0,0.84,20296.0,109.0,1229.0,18.0,22.0,2.0,31.0,complete,pass,nevents > 205.00 AND nchapters > 3.00 AND num_words <= 96.00 AND ndays_act > 5.00 AND nplay_video <= 197757.00 AND viewed = viewed,0.08278145695364239,0.0864,pass,nevents > 205.00 AND nplay_video > 362.00 AND ndays_act > 1.00 AND nchapters > 3.00,0.4117647058823529,0.0383
6,1.0,2.0,0.85,3832.0,41.0,243.0,17.0,25.0,0.0,38.0,complete,fail,num_words > 23.00,0.9950248756218906,0.7378,pass,nevents > 205.00 AND nchapters > 3.00 AND 20.00 < nplay_video <= 197757.00 AND votes <= 1.00 AND age <= 29.00 AND ndays_act > 5.00 AND num_words > 23.00 AND grade > 0.00,0.2698300283286119,0.0478
7,1.0,1.0,0.98,6775.0,67.0,724.0,16.0,32.0,0.0,2.0,complete,fail,age > 25.00,1.0,0.403,pass,nevents > 205.00 AND nplay_video > 362.00 AND grade > 0.00 AND num_words <= 96.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND votes <= 0.00 AND viewed = viewed,0.3008849557522124,0.0228
8,1.0,0.0,0.91,7178.0,61.0,1171.0,17.0,19.0,0.0,34.0,complete,fail,nplay_video <= 197757.00,1.0,1.0,pass,nevents > 205.00 AND 362.00 < nplay_video <= 197757.00 AND num_words > 23.00 AND nchapters > 3.00 AND ndays_act > 5.00 AND grade > 0.00,0.3391304347826087,0.0278
9,1.0,2.0,0.65,610.0,6.0,2.0,7.0,25.0,0.0,78.0,complete,fail,age <= 25.00,1.0,0.5916,fail,nplay_video <= 20.00 AND votes <= 0.00 AND 21.00 < age <= 29.00,0.9915254237288136,0.0883
