index,viewed,gender,grade,nevents,ndays_act,nplay_video,nchapters,age,votes,num_words,true class,SVM prediction,SVM anchor,SVM precision,SVM coverage,MLP prediction,MLP anchor,MLP precision,MLP coverage
300,1.0,1.0,0.0,2.0,1.0,197757.0,1.0,17.0,0.0,107.0,?,fail,nchapters <= 1.00,1.0,0.5276,fail,nevents <= 2.00,1.0,0.3049
301,1.0,1.0,0.0,2.0,1.0,197757.0,0.0,28.0,0.0,35.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nchapters <= 3.00,1.0,0.8521
302,0.0,0.0,0.0,1.0,1.0,197757.0,0.0,25.0,0.0,21.0,?,fail,num_words <= 96.00,1.0,0.7514,fail,nevents <= 2.00,0.9919354838709677,0.3023
303,1.0,1.0,0.03,769.0,9.0,118.0,3.0,21.0,0.0,98.0,?,fail,num_words > 23.00,1.0,0.7359,fail,1.00 < nchapters <= 3.00 AND nplay_video <= 362.00,0.9915254237288136,0.298
304,1.0,1.0,0.0,26.0,1.0,3.0,1.0,29.0,1.0,131.0,?,fail,grade <= 0.00,1.0,0.8035,fail,nevents <= 205.00,0.9979035639412998,0.7494
305,0.0,2.0,0.0,2.0,1.0,197757.0,0.0,25.0,0.0,56.0,?,fail,nevents <= 2.00,1.0,0.3087,fail,nevents <= 2.00,1.0,0.3058
306,0.0,1.0,0.0,0.0,2.0,197757.0,0.0,22.0,0.0,148.0,?,fail,ndays_act <= 2.00,1.0,0.6197,fail,nevents <= 2.00,1.0,0.3056
307,1.0,1.0,0.37,1823.0,9.0,144.0,5.0,16.0,0.0,33.0,?,fail,num_words <= 49.00,1.0,0.5067,fail,num_words <= 49.00,0.9931506849315068,0.4978
308,1.0,1.0,0.53,5327.0,44.0,347.0,18.0,19.0,2.0,50.0,?,fail,age <= 25.00,0.9937888198757764,0.5864,pass,nevents > 205.00 AND nchapters > 3.00 AND grade > 0.00 AND num_words > 23.00 AND nplay_video > 20.00 AND age <= 21.00 AND ndays_act > 5.00,0.2762790697674419,0.0204
309,1.0,1.0,0.0,55.0,5.0,197757.0,0.0,25.0,0.0,17.0,?,fail,nevents <= 205.00,1.0,0.7489,fail,nchapters <= 3.00,1.0,0.8457
310,1.0,2.0,0.0,126.0,4.0,17.0,5.0,25.0,1.0,186.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7497
311,1.0,1.0,0.04,2746.0,23.0,337.0,4.0,23.0,0.0,109.0,?,fail,num_words > 96.00,1.0,0.2513,fail,nplay_video <= 362.00 AND votes <= 0.00 AND num_words > 96.00 AND age > 21.00,0.9770642201834863,0.0533
312,0.0,0.0,0.0,2.0,1.0,197757.0,0.0,29.0,0.0,21.0,?,fail,nevents <= 2.00,1.0,0.308,fail,ndays_act <= 5.00,1.0,0.7956
313,1.0,2.0,0.0,50.0,1.0,6.0,1.0,25.0,0.0,29.0,?,fail,nevents <= 2.00,1.0,0.308,fail,ndays_act <= 5.00,1.0,0.7956
314,1.0,2.0,0.0,67.0,2.0,2.0,1.0,25.0,0.0,45.0,?,fail,nevents <= 2.00,1.0,0.308,fail,ndays_act <= 5.00,1.0,0.7956
315,1.0,1.0,0.0,102.0,1.0,7.0,3.0,24.0,0.0,77.0,?,fail,nchapters <= 3.00,1.0,0.8512,fail,nevents <= 205.00,1.0,0.7528
316,1.0,0.0,0.0,16.0,2.0,197757.0,2.0,20.0,3.0,49.0,?,fail,gender = m,1.0,0.1327,fail,nevents <= 24.00,1.0,0.4984
317,1.0,1.0,0.0,182.0,1.0,19.0,3.0,20.0,0.0,136.0,?,fail,nplay_video <= 197757.00,1.0,1.0,fail,nevents <= 205.00,1.0,0.7403
318,0.0,1.0,0.0,1.0,1.0,197757.0,0.0,27.0,0.0,77.0,?,fail,nchapters <= 3.00,1.0,0.849,fail,nevents <= 2.00,1.0,0.3137
319,1.0,1.0,0.0,157.0,6.0,28.0,2.0,23.0,1.0,12.0,?,fail,nevents <= 205.00,1.0,0.7444,fail,nchapters <= 3.00,1.0,0.841
320,1.0,1.0,0.01,1104.0,13.0,101.0,3.0,27.0,1.0,139.0,?,fail,nchapters <= 3.00,1.0,0.8471,fail,age > 25.00 AND nchapters <= 3.00,1.0,0.3463
